,Company,url,Category,Sub-Category,industry,sub_category,financials.arr_max,financials.arr_min,financials.revenue_2016,financials.revenue_2017,financials.num_customers_max,financials.num_customers_min
139,Referral Saasquatch,referralsaasquatch.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Referral marketing,1000000.0,1000000.0,500000,1080000.0,100.0,100.0
140,Zinrelo,zinrelo.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Loyalty Rewards,12000000.0,9500000.0,6300000,9600000.0,500.0,500.0
141,Hypr,hyprbrands.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,9000000.0,,1300000,7560000.0,200.0,200.0
142,Influenster,influenster.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,15000000.0,12000000.0,10000000,12000000.0,,150.0
143,Insightpool,insightpool.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,3600000.0,3600000.0,3600000,3600000.0,100.0,100.0
144,Markerly,markerly.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,0.0,720000.0,720000,720000.0,100.0,30.0
145,BirdEye,birdeye.com,Social & Relationships,Community & Reviews,Marketing Automation,,30000000.0,21600000.0,13000000,21600000.0,10000.0,10000.0
146,introNetworks,intronetworks.com,Social & Relationships,Community & Reviews,Human Resources,Recruiting,12000000.0,12000000.0,12000000,12000000.0,50.0,50.0
147,Podium,podium.com,Social & Relationships,Community & Reviews,Marketing Automation,Influencer Marketing,12000000.0,12000000.0,12000000,,6500.0,6500.0
148,ShopperApproved,shopperapproved.com,Social & Relationships,Community & Reviews,Marketing Automation,Customer Reviews,6000000.0,6000000.0,3700000,6000000.0,7000.0,7000.0
149,Pulse insights,pulseinsights.com,Social & Relationships,Feedback & Chat,Marketing Automation,Customer Feedback,,1000000.0,500000,960000.0,,10.0
150,Pure Chat,purechat.com,Social & Relationships,Feedback & Chat,Sales Automation,Customer Engagement and Onboarding,1300000.0,1300000.0,780000,1296000.0,,4000.0
151,Qualtrics,qualtrics.com,Social & Relationships,Feedback & Chat,Business Intelligence,Industry Data,,250000000.0,249600000,249600000.0,9000.0,9000.0
152,Rant & Rave,rantandrave.com,Social & Relationships,Feedback & Chat,Sales Automation,Customer Engagement and Onboarding,,28000000.0,20000000,27600000.0,285.0,285.0
153,Tagove,tagove.com,Social & Relationships,Feedback & Chat,Sales Automation,CRM,780000.0,780000.0,120000,780000.0,1300.0,1300.0
154,CloudCherry,getcloudcherry.com,Social & Relationships,"Customer Experience, Service & Success",Human Resources,Support,1200000.0,1000000.0,333333,1056000.0,100.0,100.0
155,HelpScout,helpscout.net,Social & Relationships,"Customer Experience, Service & Success",Misc,Customer Service,15120000.0,15120000.0,6000000,15120000.0,9000.0,9000.0
156,Kustomer,kustomer.com,Social & Relationships,"Customer Experience, Service & Success",Sales Automation,CRM,,1200000.0,1200000,1200000.0,10000.0,1000.0
157,Optimove,optimove.com,Social & Relationships,"Customer Experience, Service & Success",Sales Automation,CRM,100000000.0,25000000.0,13500000,27816000.0,,214.0
158,Pendo,pendo.io,Social & Relationships,"Customer Experience, Service & Success",Sales Automation,Customer Engagement and Onboarding,14400000.0,14400000.0,4800000,14400000.0,400.0,400.0
159,Apptivo,apptivo.com,Social & Relationships,CRM,Sales Automation,CRM,9600000.0,8400000.0,8400000,8400000.0,80000.0,80000.0
160,Batchbook,batchbook.com,Social & Relationships,CRM,Sales Automation,CRM,5040000.0,5040000.0,5040000,,10000.0,10000.0
161,Contactually,contactually.com,Social & Relationships,CRM,Sales Automation,CRM,8400000.0,8400000.0,8400000,8400000.0,12000.0,12000.0
162,Neon,neoncrm.com,Social & Relationships,CRM,Sales Automation,CRM,8000000.0,6000000.0,5400000,6000000.0,3000.0,3000.0
163,Nimble,nimble.com,Social & Relationships,CRM,Sales Automation,CRM,2700000.0,2700000.0,2000000,2700000.0,10500.0,10500.0
164,ProsperWorks,prosperworks.com,Social & Relationships,CRM,Sales Automation,CRM,24000000.0,24000000.0,24000000,,40000.0,40000.0
165,Salesflare,salesflare.com,Social & Relationships,CRM,Sales Automation,CRM,360000.0,36000.0,36000,36000.0,1000.0,100.0
166,Vtiger,vtiger.com,Social & Relationships,CRM,Sales Automation,CRM,3600000.0,3600000.0,2640000,3600000.0,3000.0,3000.0
167,Celect,celect.com,Commerce & Sales,"Retail, Proximity & IoT Marketing",Business Intelligence,Internal Data,6000000.0,6000000.0,2400000,6000000.0,20.0,10.0
168,Enplug,enplug.com,Commerce & Sales,"Retail, Proximity & IoT Marketing",Marketing Automation,,4800000.0,4800000.0,2400000,4800000.0,,1000.0
169,Infoscout,infoscout.co,Commerce & Sales,"Retail, Proximity & IoT Marketing",Business Intelligence,Internal Data,45000000.0,30000000.0,15000000,45999264.0,184.0,184.0
170,Chatmeter,chatmeter.com,Commerce & Sales,"Channel, Partner & Local Marketing",Marketing Automation,SEO,,10000000.0,9000000,9960000.0,1000.0,100.0
171,Fision,fisiononline.com,Commerce & Sales,"Channel, Partner & Local Marketing",Team Communication,File Management,,1000000.0,500000,999996.0,100.0,25.0
172,GrowSumo,growsumo.com,Commerce & Sales,"Channel, Partner & Local Marketing",Marketing Automation,Affiliate Marketing,3600000.0,,3600000,3600000.0,200.0,200.0
173,Logicbay,logicbay.com,Commerce & Sales,"Channel, Partner & Local Marketing",Sales Automation,CRM,15000000.0,10000000.0,9090000,9999996.0,,60.0
174,Socialrep,socialrep.com,Commerce & Sales,"Channel, Partner & Local Marketing",Business Intelligence,Social Data,1200000.0,800000.0,500000,799992.0,3.0,3.0
175,Structuredweb,structuredweb.com,Commerce & Sales,"Channel, Partner & Local Marketing",Marketing Automation,Content Marketing,8640000.0,8640000.0,7200000,8640000.0,36.0,36.0
176,Cirrus Insight,cirrusinsight.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,14400000.0,12000000.0,7680000,12000000.0,150000.0,150000.0
177,Cliently,cliently.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,Email Marketing,40000.0,40000.0,39996,,13.0,13.0
178,Close.io,close.io,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,,2400000.0,2400000,,5000.0,500.0
179,Datanyze,datanyze.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Business Intelligence,Industry Data,6000000.0,6000000.0,6000000,,500.0,500.0
180,DialSource,dialsource.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Calls,27600000.0,12000000.0,9000000,12000000.0,1000.0,200.0
181,DocSend,docsend.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Document Signing,,1200000.0,1200000,1200000.0,,10000.0
182,Fileboard,fileboard.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Schedule Meetings,20400000.0,20400000.0,20400000,,800.0,800.0
